"model","lambda_rule","term","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","sign_consistency"
"pooled_lasso_state_interactions","min","coc_death_rate_per_1000:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_domestic_migration_rate_per_1000",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_domestic_migration_rate_per_1000:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_hic_psh_beds_per_10k:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_high_school_graduate_pct",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_housing_supply_growth_rate_pct",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_housing_units_per_1000_residents:FL",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_multifamily_permit_share_pct",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_permits_per_1000_housing_units",8,0,0,0,0,NA,NA
"pooled_lasso_state_interactions","min","coc_permits_per_1000_housing_units:FL",8,0,0,0,0,NA,NA
