"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso_state_interactions","min",1,2017,"state_rental_vacancy_rate",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_home_price_growth_pct",0.537973621644,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_log_estimated_population:FL",-12.1456562795432,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_population_density_per_sq_mile:FL",8.23850488482374,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_contributing_counties:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_contains_split_county_flag:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_units_per_1000_residents:FL",-3.18727141025014,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_permits_per_1000_housing_units:FL",2.46444134163522,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_multifamily_permit_share_pct:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_birth_rate_per_1000:FL",0.414008526553849,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_death_rate_per_1000:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_international_migration_rate_per_1000:FL",-2.35983285678731,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_domestic_migration_rate_per_1000:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_group_quarters_per_1000_residents:FL",-1.89613948254493,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_population_growth_rate_pct:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_housing_supply_growth_rate_pct:FL",0.926271737862962,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_poverty_all_pct:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_poverty_child_pct:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_real_median_household_income_2025_usd:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"coc_real_per_capita_personal_income_2025_usd:FL",0,0.276627216886791
