"sample_id","model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_contains_split_county_flag:FL",-0.685960987748434,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_income_inequality_ratio",-0.286828408825295,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",1,2017,"coc_permits_value_per_1000_housing_units_2025_usd:FL",0.097372967395004,1.40647423436272
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"(Intercept)",42.2911739154083,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_hic_psh_beds_per_10k",13.0847267859055,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_log_estimated_population",-7.59346124925624,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_hic_temporary_beds_per_10k",4.67895057172563,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_population_density_per_sq_mile",-3.54751618007088,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"control_state_florida",-2.47953308863622,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"control_time_index",-2.34712333165552,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_international_migration_rate_per_1000",-2.17327467729861,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_housing_cost_burdened_households_pct",1.74528812564441,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_real_gdp_quantity_index",1.69580036205853,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_contains_split_county_flag:FL",-0.872589592181273,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_homeownership_rate_pct:FL",0.596792376991777,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_unemployment_rate_pct",-0.329623493788548,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_income_inequality_ratio:FL",-0.284172999420338,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_group_quarters_per_1000_residents:FL",-0.211897674925818,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",2,2018,"coc_income_inequality_ratio",-0.123773463025318,1.14981931807692
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"(Intercept)",39.2592781067803,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_hic_psh_beds_per_10k",12.7503704340717,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_log_estimated_population",-7.68222049556424,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_hic_temporary_beds_per_10k",5.27182188745617,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_population_density_per_sq_mile",-3.94712303360454,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_international_migration_rate_per_1000",-2.17950492229942,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"control_state_florida",-2.17099213653008,1.06365066348858
"S0_primary","pooled_lasso_state_interactions","1se",3,2019,"coc_housing_cost_burdened_households_pct",1.92151514926807,1.06365066348858
