"sample_id","model","lambda_rule","fold","validation_year","group","n","rmse","mae","r2"
"S2_stable_cocs","state_time_baseline","none",7,2024,"all",65,21.2084271841258,14.4690308148159,0.240095379733213
"S2_stable_cocs","pooled_lasso","min",7,2024,"all",65,12.4861520357511,8.3442748305328,0.736609930040792
"S2_stable_cocs","pooled_lasso","1se",7,2024,"all",65,13.7586268442742,8.64697532415355,0.680189775490355
"S2_stable_cocs","pooled_lasso_state_interactions","min",7,2024,"all",65,11.4251530641624,8.00733060812125,0.779470742979899
"S2_stable_cocs","pooled_lasso_state_interactions","1se",7,2024,"all",65,11.7847078047773,7.65182669110832,0.76537202197835
"S2_stable_cocs","state_time_baseline","none",8,2025,"all",65,20.8400476213963,15.115622719356,0.28733521213995
"S2_stable_cocs","pooled_lasso","min",8,2025,"all",65,12.1403469719471,9.17102375451891,0.758147776034104
"S2_stable_cocs","pooled_lasso","1se",8,2025,"all",65,12.646849339135,9.30659658558698,0.737546374213154
"S2_stable_cocs","pooled_lasso_state_interactions","min",8,2025,"all",65,11.5462709252034,9.39265482782393,0.781238257217894
"S2_stable_cocs","pooled_lasso_state_interactions","1se",8,2025,"all",65,11.4806543718413,8.86180709829007,0.78371760387796
"S3_no_structural_beds","state_time_baseline","none",1,2017,"all",68,22.5982355390499,14.8583492131783,0.0691862923583655
"S3_no_structural_beds","pooled_lasso","min",1,2017,"all",68,19.7443471629224,12.8390128497009,0.289442438216635
"S3_no_structural_beds","pooled_lasso","1se",1,2017,"all",68,20.8356853856282,13.5622885272723,0.208721636706159
"S3_no_structural_beds","pooled_lasso_state_interactions","min",1,2017,"all",68,17.3734265451749,11.5542548264432,0.449845495430676
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",1,2017,"all",68,18.7868353763407,12.585458138853,0.356689014027647
"S3_no_structural_beds","state_time_baseline","none",2,2018,"all",69,24.162499934654,15.6709484965641,0.0560796524537296
"S3_no_structural_beds","pooled_lasso","min",2,2018,"all",69,18.919723477624,12.1229630687534,0.421263084079034
"S3_no_structural_beds","pooled_lasso","1se",2,2018,"all",69,21.0207911375222,13.1775853000009,0.285586371986017
"S3_no_structural_beds","pooled_lasso_state_interactions","min",2,2018,"all",69,18.3158419911159,12.3197806732593,0.457617844357328
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",2,2018,"all",69,18.2986638776531,12.2219145853871,0.458634749071762
"S3_no_structural_beds","state_time_baseline","none",3,2019,"all",69,22.4779507523863,15.3783659935515,0.133092753605574
"S3_no_structural_beds","pooled_lasso","min",3,2019,"all",69,17.6780394030842,12.2771850115746,0.463799274084591
"S3_no_structural_beds","pooled_lasso","1se",3,2019,"all",69,19.2194510294554,12.0181554815778,0.366216162605743
"S3_no_structural_beds","pooled_lasso_state_interactions","min",3,2019,"all",69,16.7739695450151,11.865357704783,0.517240417763641
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",3,2019,"all",69,17.1126232049384,11.9995689449537,0.497550546380387
"S3_no_structural_beds","state_time_baseline","none",4,2020,"all",70,21.1367781762659,14.3305337698207,0.193914532507191
"S3_no_structural_beds","pooled_lasso","min",4,2020,"all",70,17.1628368436713,11.8296546161702,0.468526444616392
"S3_no_structural_beds","pooled_lasso","1se",4,2020,"all",70,18.1604863921282,11.1330055399479,0.404943142593081
"S3_no_structural_beds","pooled_lasso_state_interactions","min",4,2020,"all",70,16.6340517796124,11.9300504241676,0.500771224190714
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",4,2020,"all",70,16.5629447434965,11.197723618414,0.50503029521053
"S3_no_structural_beds","state_time_baseline","none",5,2022,"all",70,22.0222209545792,15.3461423767643,0.206692127141056
"S3_no_structural_beds","pooled_lasso","min",5,2022,"all",70,17.5825358230734,12.2045265114984,0.49431210852921
"S3_no_structural_beds","pooled_lasso","1se",5,2022,"all",70,18.3602466193566,11.8690948376142,0.448587567487961
"S3_no_structural_beds","pooled_lasso_state_interactions","min",5,2022,"all",70,19.9904579989398,16.0954484416527,0.346320264949031
"S3_no_structural_beds","pooled_lasso_state_interactions","1se",5,2022,"all",70,17.4718360283332,12.7744765219574,0.500659693712856
