"sample_id","model","lambda_rule","term","role","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","n_positive","n_negative","sign_consistency","dominant_sign"
"S0_primary","pooled_lasso_state_interactions","1se","coc_hic_psh_beds_per_10k","penalized_predictor",8,8,1,10.8309901046687,1.8132235541344,10.8309901046687,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","coc_log_estimated_population","penalized_predictor",8,8,1,-6.91236076266618,0.856857147690531,-6.91236076266618,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","control_state_florida","unpenalized_control",8,8,1,-6.80590168689738,4.58763123652163,-6.80590168689738,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_hic_temporary_beds_per_10k","penalized_predictor",8,8,1,6.14144283480428,1.70879424851418,6.14144283480428,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","coc_population_density_per_sq_mile","penalized_predictor",8,8,1,-2.87312152023899,0.823450818918185,-2.87312152023899,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_housing_cost_burdened_households_pct","penalized_predictor",8,8,1,1.44695657269421,0.658572731604866,1.44695657269421,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","control_time_index","unpenalized_control",8,8,1,-1.08011427958394,1.12620662817936,-1.08011427958394,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_international_migration_rate_per_1000","penalized_predictor",8,7,0.875,-1.47037263611685,0.897830138321465,-1.68042586984782,0,7,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_population_growth_rate_pct","penalized_predictor",8,6,0.75,-0.544256537905742,0.452254894631173,-0.725675383874323,0,6,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_annual_hpi_change_pct","penalized_predictor",8,6,0.75,-0.540887890744424,0.431795005404673,-0.721183854325899,0,6,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_contains_split_county_flag:FL","penalized_state_interaction",8,6,0.75,-0.446092316167798,0.424012055883491,-0.594789754890398,0,6,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_housing_units_per_1000_residents","penalized_predictor",8,5,0.625,0.689934427413513,0.588109221410664,1.10389508386162,5,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","coc_hic_temporary_beds_per_10k:FL","penalized_state_interaction",8,4,0.5,-0.751272069337286,1.00327570060411,-1.50254413867457,0,4,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_gdp_quantity_index","penalized_predictor",8,3,0.375,0.518798562777419,0.741174957926651,1.38346283407312,3,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","state_rental_vacancy_rate:FL","penalized_state_interaction",8,3,0.375,0.422971422963232,0.769244094998392,1.12792379456862,3,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_gdp_quantity_index:FL","penalized_state_interaction",8,3,0.375,-0.272193178863636,0.484266941375157,-0.725848476969697,0,3,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_unemployment_rate_pct","penalized_predictor",8,2,0.25,-0.201552728622649,0.451858890285217,-0.806210914490598,0,2,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_homeownership_rate_pct:FL","penalized_state_interaction",8,2,0.25,0.121987596308733,0.233249261525572,0.487950385234934,2,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","coc_group_quarters_per_1000_residents:FL","penalized_state_interaction",8,2,0.25,-0.095364040890368,0.198481150316011,-0.381456163561472,0,2,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_annual_hpi_change_pct:FL","penalized_state_interaction",8,2,0.25,-0.0662011979222075,0.135553893047324,-0.26480479168883,0,2,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_income_inequality_ratio","penalized_predictor",8,2,0.25,-0.0513252339813266,0.104550855098387,-0.205300935925306,0,2,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_income_inequality_ratio:FL","penalized_state_interaction",8,2,0.25,-0.0374902941912552,0.0998271066008263,-0.149961176765021,0,2,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_death_rate_per_1000","penalized_predictor",8,1,0.125,0.0207031774377553,0.0585574286333805,0.165625419502043,1,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","coc_group_quarters_per_1000_residents","penalized_predictor",8,1,0.125,0.0147582698916143,0.0417426908757668,0.118066159132914,1,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","1se","state_anticamping_strictness","penalized_predictor",8,1,0.125,-0.0142816247409822,0.0403945348028403,-0.114252997927858,0,1,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_real_median_household_income_2025_usd","penalized_predictor",8,1,0.125,-0.013399474536952,0.0378994372376609,-0.107195796295616,0,1,1,"negative"
"S0_primary","pooled_lasso_state_interactions","1se","coc_permits_value_per_1000_housing_units_2025_usd:FL","penalized_state_interaction",8,1,0.125,0.0121716209243755,0.0344265427746319,0.097372967395004,1,0,1,"positive"
