"model","lambda_rule","term","selfreq_S0_primary","sign_S0_primary","selfreq_S1_split_county_excluded","sign_S1_split_county_excluded","selfreq_S2_stable_cocs","sign_S2_stable_cocs","selfreq_S3_no_structural_beds","sign_S3_no_structural_beds","selfreq_S4_persistence","sign_S4_persistence","selfreq_S4b_persistence_full_enum","sign_S4b_persistence_full_enum","selfreq_S5_no_hpi_fl518","sign_S5_no_hpi_fl518"
"pooled_lasso","1se","coc_homeownership_rate_pct",0,NA,0,NA,0,NA,1,"negative",0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_housing_cost_burdened_households_pct",0,NA,0,NA,0,NA,0.375,"positive",0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_housing_supply_growth_rate_pct",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_housing_units_per_1000_residents",0,NA,0,NA,0,NA,1,"positive",0,NA,0.714285714285714,"positive",0,NA
"pooled_lasso","1se","coc_income_inequality_ratio",0,NA,0,NA,0,NA,0.875,"positive",0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_international_migration_rate_per_1000",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0.125,"negative"
"pooled_lasso","1se","coc_log_estimated_population",1,"negative",1,"negative",0.75,"negative",1,"negative",1,"negative",1,"negative",1,"negative"
"pooled_lasso","1se","coc_multifamily_permit_share_pct",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_permits_per_1000_housing_units",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_permits_value_per_1000_housing_units_2025_usd",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_population_density_per_sq_mile",0,NA,0,NA,0,NA,1,"positive",0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_population_growth_rate_pct",0.125,"negative",0.375,"negative",0.125,"negative",0.75,"negative",0,NA,0,NA,0.75,"negative"
"pooled_lasso","1se","coc_poverty_all_pct",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_poverty_child_pct",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_real_gdp_per_capita_2017_usd",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_real_gdp_quantity_index",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_real_median_household_income_2025_usd",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_real_per_capita_personal_income_2025_usd",0,NA,0,NA,0,NA,0.125,"positive",0,NA,0,NA,0,NA
"pooled_lasso","1se","coc_relative_home_price_index_2000_base",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA
"pooled_lasso","1se","coc_unemployment_rate_pct",0,NA,0,NA,0,NA,0.25,"negative",0,NA,0,NA,0,NA
"pooled_lasso","1se","control_state_florida",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative",1,"negative"
