year,coc_number,coc_name,count_type,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,homeless_people_in_families,chronically_homeless_individuals,homeless_veterans,homeless_unaccompanied_youth_under_25
2022,FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered-Only Count,1279.0,1049.0,230.0,987.0,292.0,112.0,91.0,70.0
2022,FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered and Unsheltered Count,727.0,360.0,367.0,691.0,36.0,250.0,150.0,19.0
2022,FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,349.0,107.0,242.0,305.0,44.0,75.0,20.0,17.0
2022,FL-513,"Palm Bay, Melbourne/Brevard County CoC",Sheltered and Unsheltered Count,916.0,473.0,443.0,730.0,186.0,288.0,155.0,34.0
2022,FL-514,Ocala/Marion County CoC,Sheltered and Unsheltered Count,455.0,267.0,188.0,328.0,127.0,63.0,67.0,17.0
2022,FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,378.0,44.0,334.0,356.0,22.0,71.0,19.0,33.0
2022,FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered and Unsheltered Count,650.0,41.0,609.0,568.0,82.0,0.0,20.0,0.0
2022,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered and Unsheltered Count,488.0,81.0,407.0,383.0,105.0,35.0,75.0,45.0
2022,FL-519,Pasco County CoC,Sheltered and Unsheltered Count,589.0,252.0,337.0,460.0,129.0,123.0,44.0,21.0
2022,FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered-Only Count,745.0,420.0,325.0,500.0,245.0,45.0,68.0,45.0
2022,FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,3276.0,2306.0,970.0,2222.0,1054.0,710.0,131.0,117.0
2022,FL-601,Ft Lauderdale/Broward County CoC,Sheltered and Unsheltered Count,2054.0,826.0,1228.0,1653.0,401.0,363.0,117.0,54.0
2022,FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,148.0,108.0,40.0,102.0,46.0,0.0,40.0,5.0
2022,FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,560.0,159.0,401.0,411.0,149.0,47.0,24.0,31.0
2022,FL-604,Monroe County CoC,Sheltered and Unsheltered Count,526.0,322.0,204.0,472.0,54.0,35.0,46.0,18.0
2022,FL-605,West Palm Beach/Palm Beach County CoC,Sheltered and Unsheltered Count,1404.0,526.0,878.0,1113.0,291.0,246.0,102.0,92.0
2022,FL-606,Naples/Collier County CoC,Sheltered and Unsheltered Count,462.0,305.0,157.0,307.0,155.0,39.0,22.0,25.0
2023,CA-500,San Jose/Santa Clara City & County CoC,Sheltered and Unsheltered Count,9903.0,2502.0,7401.0,8677.0,1226.0,3485.0,479.0,764.0
2023,CA-501,San Francisco CoC,Sheltered-Only Count*,7582.0,3185.0,4397.0,6958.0,624.0,2487.0,548.0,1113.0
2023,CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered-Only Count*,9759.0,2624.0,7135.0,8949.0,810.0,2684.0,552.0,863.0
2023,CA-503,Sacramento City & County CoC,Sheltered-Only Count*,9281.0,2617.0,6664.0,7996.0,1285.0,4003.0,624.0,542.0
