"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","class_16_8_drop",2023,42,69,14.9398977052597,10.2171004707397,0.604695606549776,59,0.224691018462181
"factors","class_16_8_drop",2023,123,69,12.5764772338156,8.96898923454775,0.719873360438513,92,0.210747361183167
"factors","class_16_8_drop",2023,2024,69,14.161411251626,9.48785834216989,0.644819214387482,43,0.231569677591324
"factors","class_16_8_drop",2023,31337,69,11.5905391349791,8.03849614853562,0.762073032765851,127,0.150040850043297
"factors","class_16_8_drop",2024,10,70,11.9830926018302,8.96399479645965,0.774876370703846,25,0.313002914190292
"factors","class_16_8_drop",2024,42,70,12.101126936174,8.74048583331195,0.770419560054342,120,0.22153003513813
"factors","class_16_8_drop",2024,123,70,10.8074936145704,7.83152602479223,0.816881076783343,46,0.187406748533249
"factors","class_16_8_drop",2024,2024,70,12.0971822892068,8.66473976562745,0.770569209948584,20,0.258796840906143
"factors","class_16_8_drop",2024,31337,70,11.0938882165532,8.49217077912544,0.80704731699333,147,0.174094006419182
"factors","class_16_8_drop",2025,10,70,10.5954145888474,8.60364211106697,0.813836634438071,61,0.18505497276783
"factors","class_16_8_drop",2025,42,70,10.6267694350991,8.95332316950861,0.812733183410126,115,0.184546291828156
"factors","class_16_8_drop",2025,123,70,9.0544017533129,6.84768454337289,0.864050431561725,143,0.127037763595581
"factors","class_16_8_drop",2025,2024,70,9.73826323427893,7.43334663501442,0.842738891925845,100,0.170905724167824
"factors","class_16_8_drop",2025,31337,70,10.0959799079617,8.00247889828588,0.830973317688971,106,0.172403275966644
"factors","wide_32_16_drop",2017,10,68,15.805943291835,10.2868251829762,0.544640347118727,81,0.114614114165306
"factors","wide_32_16_drop",2017,42,68,14.7583466341273,10.0910184119091,0.603001266281128,48,0.151178494095802
"factors","wide_32_16_drop",2017,123,68,14.7244426381295,9.76239036551703,0.604823202480967,88,0.133089765906334
"factors","wide_32_16_drop",2017,2024,68,14.7781457258476,9.8050107138344,0.601935362764907,84,0.111300244927406
"factors","wide_32_16_drop",2017,31337,68,13.5699386794588,9.46963151412687,0.664363271941799,67,0.123669609427452
"factors","wide_32_16_drop",2018,10,69,14.2855112715782,8.64627661834921,0.67005375310008,74,0.281250298023224
"factors","wide_32_16_drop",2018,42,69,13.6612957085193,7.89687571675466,0.698258253033685,105,0.224437832832336
"factors","wide_32_16_drop",2018,123,69,15.8716667086023,10.2269207505966,0.592716621609688,47,0.251693665981293
"factors","wide_32_16_drop",2018,2024,69,14.2164447736785,8.58929337639095,0.673236438540713,54,0.207727074623108
"factors","wide_32_16_drop",2018,31337,69,14.0538073168093,8.87944355790869,0.680670084482683,67,0.221762493252754
