"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","wide_32_16_drop",2024,2024,70,12.6127687482508,9.46933314012295,0.750595596604018,11,0.330180794000626
"factors","wide_32_16_drop",2024,31337,70,11.3642602401612,8.64556717472472,0.797527711507713,23,0.196166083216667
"factors","wide_32_16_drop",2025,10,70,8.39723684641114,6.45960918022658,0.883068608622133,105,0.129477232694626
"factors","wide_32_16_drop",2025,42,70,9.31694615477456,7.76972386771465,0.856052050421136,97,0.133605971932411
"factors","wide_32_16_drop",2025,123,70,8.10813295225279,5.99008344979748,0.890981542059245,157,0.121825255453587
"factors","wide_32_16_drop",2025,2024,70,8.9578850811693,7.68063288490832,0.866933331078294,72,0.13656459748745
"factors","wide_32_16_drop",2025,31337,70,9.03396626440722,7.10224627707591,0.864663406515671,86,0.134617939591408
"factors","shallow_8_drop",2017,10,68,14.4208127633658,10.025350735921,0.620952894472761,123,0.166208863258362
"factors","shallow_8_drop",2017,42,68,25.3414890104999,18.8716359417411,-0.170517651873561,155,0.168203890323639
"factors","shallow_8_drop",2017,123,68,14.4411371662121,10.0924656538205,0.619883698850858,141,0.114712961018085
"factors","shallow_8_drop",2017,2024,68,15.8440767423941,11.5785265177203,0.542440493402447,164,0.13012158870697
"factors","shallow_8_drop",2017,31337,68,16.8032741673782,12.4577919230532,0.485362373439027,114,0.159826785326004
"factors","shallow_8_drop",2018,10,69,14.9902068154622,10.0018958218401,0.636698772069892,73,0.255350172519684
"factors","shallow_8_drop",2018,42,69,16.1407619192682,10.7792261159081,0.578789024097058,43,0.506888449192047
"factors","shallow_8_drop",2018,123,69,14.4538906719501,9.77962493750778,0.662229942989485,173,0.212881982326508
"factors","shallow_8_drop",2018,2024,69,15.6154940136365,10.8333365144775,0.60575783359349,85,0.258344680070877
"factors","shallow_8_drop",2018,31337,69,14.9124766538073,10.4922482186381,0.64045672512824,94,0.309589952230453
"factors","shallow_8_drop",2019,10,69,18.2065988927607,11.1837870023369,0.431255969570218,91,0.295118391513824
"factors","shallow_8_drop",2019,42,69,15.8785481356291,10.3388247201164,0.567405710377013,79,0.335696011781693
"factors","shallow_8_drop",2019,123,69,17.913089440004,12.1119496808495,0.449445659225482,101,0.278613835573196
"factors","shallow_8_drop",2019,2024,69,20.1160744284605,12.8429325974712,0.30570239029771,44,0.328588515520096
"factors","shallow_8_drop",2019,31337,69,15.8674506868627,10.9635797572034,0.568010175638313,84,0.296158999204636
"factors","shallow_8_drop",2020,10,70,15.4000344393508,10.4249215363259,0.572095457963864,53,0.465341329574585
"factors","shallow_8_drop",2020,42,70,12.33202623468,8.61808432771213,0.725607401695479,87,0.343688488006592
"factors","shallow_8_drop",2020,123,70,16.753412065282,12.3381919156923,0.493580927803978,25,0.328638523817062
"factors","shallow_8_drop",2020,2024,70,23.4623098093005,15.3529398265393,0.00678094585560529,14,0.425746530294418
"factors","shallow_8_drop",2020,31337,70,14.0234971612103,9.93895522764933,0.645173396474475,13,0.326464146375656
"factors","shallow_8_drop",2022,10,70,14.031094301399,11.1757721892678,0.677965337555192,69,1.17193448543549
"factors","shallow_8_drop",2022,42,70,12.1378609259797,8.65457106678239,0.759007322388871,41,0.28638482093811
"factors","shallow_8_drop",2022,123,70,22.4685149858726,17.771242007287,0.174212562358642,3,0.599952936172485
"factors","shallow_8_drop",2022,2024,70,25.4700915668025,21.6392737039986,-0.0611592043587836,7,1.43075513839722
"factors","shallow_8_drop",2022,31337,70,13.4114205252338,9.90637831957938,0.7057820984921,16,0.317407518625259
"factors","shallow_8_drop",2023,10,69,14.1035637784127,10.6235254733042,0.647715019918358,49,0.301350563764572
"factors","shallow_8_drop",2023,42,69,13.9874336382661,10.6943848722704,0.653492633652254,54,0.182005167007446
"factors","shallow_8_drop",2023,123,69,13.4611948710204,10.0936990170359,0.679074950982423,61,0.22474217414856
"factors","shallow_8_drop",2023,2024,69,16.2621596404749,11.0113705673182,0.531625940921374,44,0.426474243402481
"factors","shallow_8_drop",2023,31337,69,15.0043020709779,12.4724130125633,0.601280026937957,20,0.258274883031845
"factors","shallow_8_drop",2024,10,70,13.2852141003905,10.3163892402373,0.723292859598381,50,0.28387638926506
"factors","shallow_8_drop",2024,42,70,13.3733055326319,10.0149163066235,0.719611120997949,34,0.255625933408737
"factors","shallow_8_drop",2024,123,70,12.0671405229111,9.75679255356648,0.77170731759935,47,0.2381661683321
"factors","shallow_8_drop",2024,2024,70,14.4411714825543,9.93747228239958,0.673044911470646,28,0.301182597875595
"factors","shallow_8_drop",2024,31337,70,12.3644125177031,9.5552789604971,0.760320868141358,50,0.296753615140915
"factors","shallow_8_drop",2025,10,70,11.5218483415745,9.44605081347587,0.779858145445553,41,0.242511481046677
"factors","shallow_8_drop",2025,42,70,11.4263114781626,8.61209798632975,0.78349375433381,72,0.258183747529984
