"variable","row","value","robust_z","coc","state","predictor_year"
"coc_hic_psh_beds_per_10k",124,41.5638987850553,5.7,"CA-509","California",2017
"coc_population_density_per_sq_mile",382,2296.05376352481,5.68,"CA-600","California",2012
"coc_hic_temporary_beds_per_10k",859,46.3142110863887,5.67,"FL-604","Florida",2022
"coc_real_per_capita_personal_income_2025_usd",99,164207.311641944,5.65,"CA-507","California",2018
"coc_income_inequality_ratio",24,28.0773696432341,5.65,"CA-501","California",2022
"coc_population_density_per_sq_mile",381,2282.44365879345,5.64,"CA-600","California",2011
"coc_housing_supply_growth_rate_pct",627,3.03106786634419,5.64,"FL-505","Florida",2024
"coc_hic_psh_beds_per_10k",455,41.1811873113692,5.64,"CA-606","California",2021
"coc_permits_value_per_1000_housing_units_2025_usd",884,10128496.1444646,5.63,"FL-606","Florida",2021
"coc_permits_per_1000_housing_units",560,32.441967323661,5.62,"FL-500","Florida",2022
"coc_international_migration_rate_per_1000",887,15.51155155,5.62,"FL-606","Florida",2024
"coc_population_density_per_sq_mile",390,2267.19021012063,5.6,"CA-600","California",2021
"coc_international_migration_rate_per_1000",804,15.37540698,5.57,"FL-600","Florida",2018
"coc_real_per_capita_personal_income_2025_usd",21,162725.078635072,5.57,"CA-501","California",2018
"coc_housing_supply_growth_rate_pct",846,2.99684800182913,5.56,"FL-603","Florida",2022
"coc_real_per_capita_personal_income_2025_usd",164,162543.468870233,5.56,"CA-512","California",2019
"coc_population_density_per_sq_mile",391,2252.8727118012,5.55,"CA-600","California",2022
"coc_population_density_per_sq_mile",393,2252.95220980653,5.55,"CA-600","California",2024
"coc_population_density_per_sq_mile",35,2246.27607380941,5.54,"CA-502","California",2019
"coc_population_density_per_sq_mile",392,2249.18529850771,5.54,"CA-600","California",2023
"coc_real_gdp_per_capita_2017_usd",15,147028.879273981,5.54,"CA-501","California",2012
"coc_hic_temporary_beds_per_10k",301,45.4501808405083,5.53,"CA-523","California",2013
"coc_population_density_per_sq_mile",34,2240.12993472756,5.52,"CA-502","California",2018
"coc_real_per_capita_personal_income_2025_usd",13,161772.179449277,5.52,"CA-500","California",2024
"coc_population_density_per_sq_mile",33,2231.31325587846,5.49,"CA-502","California",2017
"coc_hic_psh_beds_per_10k",118,40.3050358394211,5.49,"CA-509","California",2011
"coc_hic_psh_beds_per_10k",456,40.2990434428203,5.49,"CA-606","California",2022
