"scope","model","lambda_rule","fold","group","n_exported","n_recomputed","rmse_exported","rmse_recomputed","mae_exported","mae_recomputed","r2_exported","r2_recomputed","rmse_abs_diff","mae_abs_diff","r2_abs_diff","n_match","max_abs_diff","status"
"by_fold_raw_target","pooled_lasso","min",7,"all",70,70,13.7583320249406,13.7583320249406,9.10264984864022,9.10264984864023,0.703233535687605,0.703233535687605,5.32907051820075e-15,5.32907051820075e-15,1.11022302462516e-16,TRUE,5.32907051820075e-15,"PASS"
"by_fold_raw_target","pooled_lasso","1se",7,"all",70,70,14.1959190449728,14.1959190449728,8.77101079384492,8.77101079384492,0.684055878840998,0.684055878840998,3.5527136788005e-14,0,3.33066907387547e-16,TRUE,3.5527136788005e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",7,"all",70,70,13.1637846985866,13.1637846985866,9.64207976856302,9.64207976856302,0.72832805516462,0.72832805516462,7.105427357601e-15,3.5527136788005e-15,1.11022302462516e-16,TRUE,7.105427357601e-15,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",7,"all",70,70,13.2764764806288,13.2764764806288,8.8806293670777,8.88062936707771,0.723656717746985,0.723656717746985,1.59872115546023e-14,7.105427357601e-15,2.22044604925031e-16,TRUE,1.59872115546023e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",7,"California",44,44,15.0091298196862,15.0091298196862,12.4062903255293,12.4062903255293,0.620685460356917,0.620685460356917,7.105427357601e-15,3.5527136788005e-14,0,TRUE,3.5527136788005e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","1se",7,"California",44,44,14.5822666823417,14.5822666823417,11.769714038375,11.769714038375,0.641954240178523,0.641954240178523,1.06581410364015e-14,1.77635683940025e-14,2.22044604925031e-16,TRUE,1.77635683940025e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",7,"Florida",26,26,8.28423085508732,8.28423085508732,7.15938274452934,7.15938274452935,0.0969387970882221,0.0969387970882224,1.77635683940025e-15,5.32907051820075e-15,2.91433543964104e-16,TRUE,5.32907051820075e-15,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",7,"Florida",26,26,7.99713902727939,7.99713902727939,6.77533395269786,6.77533395269787,0.158445800948289,0.158445800948289,4.44089209850063e-15,5.32907051820075e-15,8.32667268468867e-17,TRUE,5.32907051820075e-15,"PASS"
"by_fold_raw_target","separate_state_lasso","min",7,"all",70,70,12.9263825079422,12.9263825079422,10.4574389383007,10.4574389383007,0.738038627667863,0.738038627667863,1.06581410364015e-14,2.48689957516035e-14,2.22044604925031e-16,TRUE,2.48689957516035e-14,"PASS"
"by_fold_raw_target","separate_state_lasso","1se",7,"all",70,70,12.5465306065858,12.5465306065858,9.91465857798062,9.91465857798062,0.753208298936045,0.753208298936045,3.19744231092045e-14,5.32907051820075e-15,1.11022302462516e-16,TRUE,3.19744231092045e-14,"PASS"
"by_fold_raw_target","state_time_baseline","none",8,"all",70,70,20.2158902361067,20.2158902361067,14.7430402325714,14.7430402325714,0.322289750759532,0.322289750759532,4.61852778244065e-14,2.48689957516035e-14,5.55111512312578e-17,TRUE,4.61852778244065e-14,"PASS"
"by_fold_raw_target","pooled_lasso","min",8,"all",70,70,12.4655531047185,12.4655531047185,9.10905760468411,9.10905760468411,0.742319580815399,0.742319580815399,1.24344978758018e-14,3.5527136788005e-15,1.11022302462516e-16,TRUE,1.24344978758018e-14,"PASS"
"by_fold_raw_target","pooled_lasso","1se",8,"all",70,70,12.420101809163,12.420101809163,8.92466660000492,8.92466660000492,0.744195238814004,0.744195238814005,8.88178419700125e-15,3.5527136788005e-15,6.66133814775094e-16,TRUE,8.88178419700125e-15,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","min",8,"all",70,70,13.021320059312,13.021320059312,10.0394884651854,10.0394884651854,0.718830415197836,0.718830415197835,4.9737991503207e-14,1.95399252334028e-14,8.88178419700125e-16,TRUE,4.9737991503207e-14,"PASS"
"by_fold_raw_target","pooled_lasso_state_interactions","1se",8,"all",70,70,12.3018276875442,12.3018276875442,9.09447264229079,9.09447264229078,0.749043995671666,0.749043995671666,3.73034936274053e-14,7.105427357601e-15,1.11022302462516e-16,TRUE,3.73034936274053e-14,"PASS"
"by_fold_raw_target","separate_lasso_CA","min",8,"California",44,44,15.4807130609794,15.4807130609794,13.4394826680227,13.4394826680227,0.558892153766359,0.55889215376636,5.32907051820075e-15,8.88178419700125e-15,7.7715611723761e-16,TRUE,8.88178419700125e-15,"PASS"
"by_fold_raw_target","separate_lasso_CA","1se",8,"California",44,44,14.6522522224243,14.6522522224243,12.6209618669151,12.6209618669151,0.604841222763373,0.604841222763374,1.24344978758018e-14,2.8421709430404e-14,6.66133814775094e-16,TRUE,2.8421709430404e-14,"PASS"
"by_fold_raw_target","separate_lasso_FL","min",8,"Florida",26,26,5.24590793479066,5.24590793479066,4.44024196844379,4.44024196844379,0.517526832742946,0.517526832742946,8.88178419700125e-16,1.77635683940025e-15,0,TRUE,1.77635683940025e-15,"PASS"
"by_fold_raw_target","separate_lasso_FL","1se",8,"Florida",26,26,6.03054057147602,6.03054057147602,4.75903616207567,4.75903616207567,0.362405850629195,0.362405850629195,2.66453525910038e-15,4.44089209850063e-15,2.77555756156289e-16,TRUE,4.44089209850063e-15,"PASS"
