"feature_set","fold","validation_year","variable","permutation_importance","selected_mtry","oob_mse"
"factors",6,2023,"state_real_minimum_wage_2025_usd",5.86204531328572,13,166.526218010171
"factors",6,2023,"state_medicaid_expansion",3.06873789963928,13,166.526218010171
"factors",6,2023,"coc_hic_temporary_beds_per_10k",24.7218987484014,13,166.526218010171
"factors",6,2023,"coc_hic_psh_beds_per_10k",17.482540557435,13,166.526218010171
"factors",6,2023,"state_anticamping_strictness",2.51723540200439,13,166.526218010171
"factors",6,2023,"state_tanf_max_benefit_3person",5.01555498483526,13,166.526218010171
"factors",6,2023,"state_ssi_state_supplement",2.45767373760993,13,166.526218010171
"factors",6,2023,"state_labor_force_participation_pct",10.7039568046609,13,166.526218010171
"factors",6,2023,"state_real_median_rent_2025_usd",5.10725021317441,13,166.526218010171
"factors",6,2023,"state_rental_vacancy_rate",6.76955086240127,13,166.526218010171
"factors",7,2024,"control_state_florida",3.91670217675455,7,158.957529773187
"factors",7,2024,"control_time_index",5.67581527440721,7,158.957529773187
"factors",7,2024,"coc_log_estimated_population",13.5254257329293,7,158.957529773187
"factors",7,2024,"coc_population_density_per_sq_mile",11.5880193806374,7,158.957529773187
"factors",7,2024,"coc_contributing_counties",5.06677079666317,7,158.957529773187
"factors",7,2024,"coc_contains_split_county_flag",3.32283824993679,7,158.957529773187
"factors",7,2024,"coc_housing_units_per_1000_residents",6.75953719348384,7,158.957529773187
"factors",7,2024,"coc_permits_per_1000_housing_units",7.04773466065034,7,158.957529773187
"factors",7,2024,"coc_multifamily_permit_share_pct",5.72587884906916,7,158.957529773187
"factors",7,2024,"coc_permits_value_per_1000_housing_units_2025_usd",6.45831009406797,7,158.957529773187
"factors",7,2024,"coc_birth_rate_per_1000",9.25680439273547,7,158.957529773187
"factors",7,2024,"coc_death_rate_per_1000",7.04211312121884,7,158.957529773187
"factors",7,2024,"coc_international_migration_rate_per_1000",7.89576933864904,7,158.957529773187
"factors",7,2024,"coc_domestic_migration_rate_per_1000",4.68220306371933,7,158.957529773187
"factors",7,2024,"coc_group_quarters_per_1000_residents",10.0818214833305,7,158.957529773187
"factors",7,2024,"coc_population_growth_rate_pct",8.26731056142287,7,158.957529773187
"factors",7,2024,"coc_housing_supply_growth_rate_pct",6.97602958543172,7,158.957529773187
"factors",7,2024,"coc_poverty_all_pct",7.82028563266961,7,158.957529773187
"factors",7,2024,"coc_poverty_child_pct",9.08908021497307,7,158.957529773187
"factors",7,2024,"coc_real_median_household_income_2025_usd",8.12972224798588,7,158.957529773187
"factors",7,2024,"coc_real_per_capita_personal_income_2025_usd",8.69201019938963,7,158.957529773187
"factors",7,2024,"coc_unemployment_rate_pct",5.97846038567649,7,158.957529773187
"factors",7,2024,"coc_high_school_graduate_pct",7.59008035216794,7,158.957529773187
"factors",7,2024,"coc_homeownership_rate_pct",7.06117523278224,7,158.957529773187
"factors",7,2024,"coc_housing_cost_burdened_households_pct",10.6613869169463,7,158.957529773187
"factors",7,2024,"coc_income_inequality_ratio",7.78274121352877,7,158.957529773187
"factors",7,2024,"coc_annual_hpi_change_pct",2.84725087242702,7,158.957529773187
"factors",7,2024,"coc_real_gdp_per_capita_2017_usd",10.514251779979,7,158.957529773187
"factors",7,2024,"coc_real_gdp_quantity_index",5.78888683917619,7,158.957529773187
"factors",7,2024,"coc_relative_home_price_index_2000_base",7.19022903342471,7,158.957529773187
"factors",7,2024,"state_real_minimum_wage_2025_usd",2.9967598266274,7,158.957529773187
"factors",7,2024,"state_medicaid_expansion",2.88861547030413,7,158.957529773187
"factors",7,2024,"coc_hic_temporary_beds_per_10k",22.2465165980269,7,158.957529773187
"factors",7,2024,"coc_hic_psh_beds_per_10k",15.4740553409814,7,158.957529773187
"factors",7,2024,"state_anticamping_strictness",1.89686532370518,7,158.957529773187
"factors",7,2024,"state_tanf_max_benefit_3person",4.83791712675807,7,158.957529773187
"factors",7,2024,"state_ssi_state_supplement",3.94362137025202,7,158.957529773187
"factors",7,2024,"state_labor_force_participation_pct",8.40423595822461,7,158.957529773187
"factors",7,2024,"state_real_median_rent_2025_usd",5.06533108703886,7,158.957529773187
"factors",7,2024,"state_rental_vacancy_rate",5.23795373766206,7,158.957529773187
"factors",8,2025,"control_state_florida",4.19693466804759,7,141.42281853713
"factors",8,2025,"control_time_index",6.62100470712109,7,141.42281853713
"factors",8,2025,"coc_log_estimated_population",13.8785680648114,7,141.42281853713
"factors",8,2025,"coc_population_density_per_sq_mile",12.9623541706236,7,141.42281853713
